"","BIC","delta","weights","dist25k","dist_continents","area_km2","w_mean_growing_season","max_elevation","w_mean_temperature_seasonality","w_mean_Seasonality_Precipitation","model_id","Nparam"
"187",27609.5284292183,156.701292110905,5.64705640884641e-35,"X","X"," ","X","X","X"," ",187,5
"188",27611.3444209754,158.517283868023,2.27763708935762e-35,"X","X"," ","X","X"," ","X",188,5
"189",27611.7194490861,158.892311978729,1.88820092820812e-35," ","X"," ","X","X","X","X",189,5
"190",27612.3356917865,159.508554679109,1.38749940208648e-35," ","X"," ","X","X","X","X",190,5
"191",27616.0073652031,163.180228095724,2.2127841530187e-36,"X","X"," ","X","X","X","X",191,6
"192",27616.0940381429,163.266901035542,2.11893806507989e-36,"X","X"," ","X","X","X","X",192,6
"193",27806.3813401823,353.554203074917,1.01334105172583e-77," "," "," "," "," ","X"," ",193,1
"194",27807.1174336349,354.290296527561,7.01317982034453e-78," "," "," "," "," "," "," ",194,0
"195",27810.595173778,357.768036670604,1.2323478101549e-78," "," "," "," "," "," "," ",195,0
"196",27812.1889496642,359.361812556839,5.55455487063747e-79,"X"," "," "," "," ","X"," ",196,2
"197",27813.988725999,361.161588891679,2.25856605091193e-79,"X"," "," "," "," "," "," ",197,1
"198",27814.0132744257,361.186137318378,2.23101336900089e-79," "," "," ","X"," ","X"," ",198,2
"199",27814.7783512354,361.95121412805,1.52183600350008e-79," "," "," "," "," ","X","X",199,2
"200",27814.7964015323,361.969264424933,1.50816300091278e-79," ","X"," "," "," ","X"," ",200,2
"201",27815.4620916227,362.634954515332,1.08117380707539e-79," "," "," "," "," ","X"," ",201,1
"202",27815.8706815463,363.043544438911,8.81396539736756e-80," "," "," ","X"," "," "," ",202,1
"203",27816.1932293401,363.36609223274,7.50120401976333e-80," ","X"," "," "," "," "," ",203,1
"204",27816.3483118933,363.52117478595,6.94153038667907e-80," "," "," "," "," "," ","X",204,1
"205",27817.3862642678,364.559127160486,4.13110976765723e-80," "," "," ","X"," "," "," ",205,1
"206",27817.9900524049,365.162915297584,3.05461026362604e-80,"X"," "," "," "," "," "," ",206,1
"207",27819.4792971231,366.652160015721,1.45067599629671e-80," "," "," ","X"," ","X","X",207,3
"208",27819.5818224575,366.75468535017,1.37818440571419e-80," "," "," "," "," "," ","X",208,1
"209",27819.8693653099,367.042228202503,1.19362579191849e-80,"X"," "," ","X"," ","X"," ",209,3
"210",27819.9417456719,367.114608564581,1.15120057688305e-80," ","X"," "," "," "," "," ",210,1
"211",27820.0349088045,367.207771697111,1.09880564367303e-80,"X","X"," "," "," ","X"," ",211,3
"212",27820.9166519371,368.089514829746,7.07054340841835e-81,"X","X"," "," "," "," "," ",212,2
"213",27821.1135351399,368.286398032586,6.40767016906484e-81,"X"," "," "," "," ","X","X",213,3
"214",27821.7958840259,368.96874691853,4.55543622141183e-81,"X"," "," "," "," ","X"," ",214,2
"215",27822.1394645679,369.312327460575,3.83638694026832e-81," ","X"," ","X"," ","X"," ",215,3
"216",27822.6922161488,369.865079041483,2.91000625960655e-81,"X"," "," ","X"," "," "," ",216,2
"217",27822.9985087549,370.17137164755,2.49679754624832e-81,"X"," "," "," "," "," ","X",217,2
"218",27823.4066889037,370.579551796312,2.03586106025357e-81,"X","X"," "," "," "," "," ",218,2
"219",27823.666661363,370.839524255596,1.78770491216512e-81," ","X"," "," "," ","X","X",219,3
"220",27823.7377971117,370.910660004356,1.7252375494222e-81," "," "," ","X"," "," ","X",220,2
"221",27824.1442246515,371.317087544172,1.40797285848265e-81," ","X"," "," "," ","X"," ",221,2
"222",27824.4618164953,371.634679387957,1.20124084375848e-81," "," "," "," "," ","X","X",222,2
"223",27824.5440461054,371.716908998023,1.15285359292947e-81," "," "," ","X"," ","X"," ",223,2
"224",27824.7830406955,371.95590358815,1.02300355180649e-81,"X"," "," ","X"," "," "," ",224,2
"225",27824.7937599879,371.966622880536,1.01753528180088e-81," ","X"," ","X"," "," "," ",225,2
"226",27825.2383122487,372.411175141388,8.14734636861092e-82," "," "," ","X"," "," ","X",226,2
"227",27825.2867156899,372.459578582566,7.95253348057365e-82," ","X"," "," "," "," ","X",227,2
"228",27826.6028741455,373.775737038177,4.11818003585441e-82,"X"," "," ","X"," ","X","X",228,4
"229",27826.6303829501,373.803245842773,4.06192469706476e-82," ","X"," ","X"," "," "," ",229,2
"230",27827.2286927221,374.40155561475,3.01169197451067e-82,"X"," "," "," "," "," ","X",230,2
"231",27828.0457718522,375.218634744837,2.00163125089505e-82,"X","X"," "," "," ","X","X",231,4
"232",27828.2818975882,375.454760480858,1.77872996273153e-82,"X","X"," ","X"," ","X"," ",232,4
"233",27828.5828882099,375.755751102544,1.53020895000754e-82," ","X"," ","X"," ","X","X",233,4
"234",27828.9661198689,376.138982761579,1.26337721568664e-82," ","X"," "," "," "," ","X",234,2
"235",27829.5237246533,376.696587545943,9.55984167761175e-83,"X","X"," "," "," ","X"," ",235,3
"236",27830.1092711871,377.282134079705,7.13347076378703e-83,"X","X"," ","X"," "," "," ",236,3
"237",27830.2429660584,377.415828951038,6.6722054901086e-83,"X","X"," "," "," "," ","X",237,3
"238",27830.311654737,377.484517629637,6.44694338160799e-83,"X"," "," "," "," ","X","X",238,3
"239",27830.9122106605,378.085073553131,4.77468576033228e-83,"X"," "," ","X"," ","X"," ",239,3
"240",27831.3477821969,378.520645089538,3.84026891543581e-83,"X","X"," ","X"," "," "," ",240,3
"241",27831.4847705626,378.657633455237,3.58603885874001e-83,"X","X"," "," "," "," ","X",241,3
"242",27831.9528746061,379.125737498758,2.8377065967922e-83,"X"," "," ","X"," "," ","X",242,3
"243",27831.9831301581,379.155993050768,2.79510147987105e-83,"X"," "," ","X"," "," ","X",243,3
"244",27832.6763940298,379.849256922487,1.97631989762769e-83," ","X"," "," "," ","X","X",244,3
"245",27833.0875185029,380.260381395499,1.60909875253874e-83," ","X"," ","X"," "," ","X",245,3
"246",27833.1374076281,380.310270520793,1.56945696691192e-83," ","X"," ","X"," ","X"," ",246,3
"247",27833.7437127617,380.916575654315,1.1590226557311e-83," "," "," ","X"," ","X","X",247,3
"248",27833.7648091948,380.937672087457,1.14686128688495e-83,"X","X"," ","X"," ","X","X",248,5
"249",27834.103942758,381.276805650625,9.67985775704093e-84," ","X"," ","X"," "," ","X",249,3
"250",27836.6479589518,383.820821844471,2.71295679869533e-84,"X","X"," ","X"," "," ","X",250,4
"251",27838.6090946785,385.781957571147,1.01762476135337e-84,"X","X"," "," "," ","X","X",251,4
"252",27838.8398163585,386.012679251169,9.06749009110363e-85,"X","X"," ","X"," ","X"," ",252,4
"253",27839.48029406,386.653156952598,6.58277670962339e-85,"X","X"," ","X"," "," ","X",253,4
"254",27839.6789308345,386.851793727121,5.96040398445e-85,"X"," "," ","X"," ","X","X",254,4
"255",27841.9888577561,389.161720648721,1.87793881541847e-85," ","X"," ","X"," ","X","X",255,4
"256",27847.9909062122,395.163769104838,9.34013548977466e-87,"X","X"," ","X"," ","X","X",256,5
