"","ISO","name","region","AES","EGIDS","L1_pop","L1_pop_prop","island","documentation","area","bordering_language_richness","bordering_language_richness_perkm","bordering_language_evenness","language_richness","threatened_languages","threatened_prop_languages","language_evenness","official_status","language_of_education","minority_education","education_spending","years_of_schooling","GDPpc","life_expectancy_60","urban_change","roads","pop_density","human_footprint","cropland","pop_density_change","footprint_change","cropland_change","pasture","pasture_change","built","built_change","GINI","growing_season","temperature","temperature_seasonality","rainfall_seasonality","threatened_species","threatened_prop_species","waterways","roughness","altitude_range","world_language","Arabic","Malay","English","French","Hindustani","Mandarin","Portuguese","Russian","Spanish","Western_Africa","Oceania","Europe","Southern_Asia","South_America","Northern_America","Africa","South.Eastern_Asia","Arab","Asia","Central_America","Australia_and_New_Zealand","poly_definite","pol_borderline","isolates","family_id","vehicularity","mono_family","isolate_or_mono","small_family","family_sizes","isolate_OR_small_family","poly","Macroarea","islands11km"
"4957","skh","Sikule","South-Eastern Asia","threatened","6b",20000,333.8528247,1,"basic",714.5144764,1,0.006565353,0,1,0,0,0,0,0,0,3.238724947,7.6,3122.362815,16.5115696,40.073,0.130526938,59.90663687,10.31366792,0.705263158,57.90884822,9.569458416,0.630931174,0,0,0,0,45.6,366,299.8983313,38.79728026,21.56354669,2,0.05,0,5.649273396,820.7626953,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",TRUE
"4958","ski","Sika","South-Eastern Asia","not endangered","6a",175000,952.6602127,0,"basic",1212.987236,4,0.01445592,0.624686263,4,1,0.25,0.674987196,0,0,0,3.238724947,7.6,3122.362815,16.5115696,40.073,0.160962975,201.6377122,13.99618904,0.832727273,191.3121068,13.46104843,0.824242424,0,0,0,0,45.6,182,299.3872876,65.57767591,84.40809257,5.5,0.089257294,0.053817487,5.500368655,360.5584488,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",FALSE
"4959","skj","Seke (Nepal)","Southern Asia","shifting","6a",700,144.361656,0,"basic",10.39814965,1,0.073003041,0,7,3,0.428571429,0,0,0,0,3.703589916,3.3,592.4010975,17.26859835,15.856,0.163928753,1.046062445,5.509102894,0.104,0.959570789,5.210283963,0.104,0,0,0,0,37.15,176,280.7955315,473.4005941,62.79184087,12,0.1,0.005128015,6.772862434,3076.701721,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"sino1245",FALSE,FALSE,FALSE,FALSE,389,FALSE,"All Languages","Eurasia",FALSE
"4960","skm","Sakam","Oceania","not endangered","5",1300,71.98249743,0,"little or none",212.2071666,5,0.086810793,0.602561878,50,14,0.28,0,0,0,1,2.01,4,1928.29268,16.84059019,9.377,0.061070413,13.12512864,6.52,0.36,12.32712216,6.3325,0.36,0,0,0,0,47.8,366,290.4053563,51.91993501,38.17098533,6,0.040925607,0.022423476,7.233548403,1785.090088,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"nucl1709",FALSE,FALSE,FALSE,FALSE,307,FALSE,"All Languages","Papunesia",FALSE
"4961","skn","Kolibugan Subanon","South-Eastern Asia","not endangered","6a",20000,123.8287136,0,"little or none",1449.671364,3,0.007480614,0.544166518,4,0,0,0.485480693,0,0,1,2.595340014,9,2217.474009,17.17240194,16.385,0.263655736,157.6969228,13.74381346,0.660444444,150.3240517,12.90882512,0.60991453,0,0,0,0,41.6,316.3333333,300.0855473,52.64066508,54.0054066,3.666666667,0.03983737,0.013504122,5.955795288,401.425827,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",FALSE
"4962","sko","Seko Tengah","South-Eastern Asia","threatened","6a",2500,42.57687845,0,"little or none",188.3794241,4,0.068384195,0.215651944,9,3,0.333333333,0.401024875,0,0,0,3.238724947,7.6,3122.362815,16.5115696,40.073,0.115326826,45.207166,4.275325783,0.12,43.21189472,4.067403636,0.12,0,0,0,0,45.6,350,291.9193532,41.95174408,41.77393961,18,0.147540984,0,6.963805676,1543.032959,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",FALSE
"4963","skp","Sekapan","South-Eastern Asia","threatened","6b",750,188.2987153,0,"little or none",106.7990299,1,0.025233049,0,10,9,0.9,0.137099809,0,0,0,5.094384909,9.8,9040.566251,19.52927447,48.849,0.01504073,1.854369316,3.266804469,0.15,1.802204235,3.106379188,0.146153846,0,0,0,0,41.2,366,299.1328746,40.29921341,15.62150908,32,0.143528817,0.096122905,5.379591703,554.0105858,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",FALSE
"4964","skq","Sininkere","Western Africa","shifting","6b",6000,99.16339792,0,"little or none",0.078628676,0,0,0,3,0,0,0.563178561,0,0,1,4.478759766,1.4,647.8358465,15.27762615,24.043,0.28132877,57.77491425,9.46088171,0,55.64502862,8.994576603,0,0,0,0,0,39.85,62,301.7104267,272.4396667,134.8829346,3,0.034883721,0,3.497821569,62.74300766,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"mand1469",FALSE,FALSE,FALSE,FALSE,69,FALSE,"All Languages","Africa",FALSE
"4965","skr","Saraiki","Southern Asia","not endangered","4",13968000,14409.14851,0,"detailed",64567.51153,10,0.006283405,0.407131209,0,0,0,0,0,0,0.0233485,2.515154721,4.71634395,1001.886019,17.74354223,14.36924029,0.147443254,512.9110234,16.60680632,0.679273851,492.0923649,15.68853329,0.626470571,0.030316725,0.02835675,0.040741599,0.038671302,34.48601913,58.33333333,298.5020564,815.3186614,101.7910239,3,0.060426001,0.057806957,4.467589855,1043.705322,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"indo1319",FALSE,FALSE,FALSE,FALSE,395,FALSE,"All Languages","Eurasia",FALSE
"4966","sks","Maia","Oceania","not endangered","6b",4350,180.7956292,0,"basic",569.2673715,6,0.04975225,0.692260623,51,13,0.254901961,0,0,0,1,2.01,4,1928.29268,16.84059019,9.377,0.074072221,27.21609395,9.554570603,0.739047619,26.18508769,9.271526244,0.738021978,0,0,0,0,47.8,366,297.7949525,22.7172451,39.3000974,2,0.019230769,0.002915051,6.021868944,1692.247772,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"nucl1709",FALSE,FALSE,FALSE,FALSE,307,FALSE,"All Languages","Papunesia",FALSE
