"LANG_ISO","area","L1_pop","Bordering_LR","IE","PC_Phoible","PC_Creanza","min_dist11k","min_dist25k","min_distCont","max_areakm2","in_Phoible","in_Creanza","macroarea","macroarea_Africa","macroarea_Australia","macroarea_Eurasia","macroarea_North America","macroarea_Papunesia","macroarea_South America","macroarea_NA"
"bpb",6804.82045449957,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"bpd",45049.87234383,102000,25,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bpg",168.4528810333,790,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bph",18.9411437977105,210,3,FALSE,NA,44,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"bpi",8.61549454461783,50,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bpj",5909.3491000256,165000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bpk",568.59678991884,490,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bpl",2534508.22011731,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"bpm",105.497410658747,380,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bpn",510.644412489608,60000,3,FALSE,NA,25,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"bpo",256.657872485695,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"bpp",3054.44671399426,450,7,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bpq",31.7109719356522,NA,NA,TRUE,23,NA,107154.076567767,107154.076567767,763112.051363945,28.7487908224575,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"bpr",2301.75742259156,150000,5,FALSE,NA,22,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"bps",2061.77066484094,90800,3,FALSE,NA,23,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"bpt",631.532113580033,0,2,FALSE,25,NA,0,0,0,NA,FALSE,TRUE,"Australia",0,1,0,0,0,0,0
"bpu",25.5501777213067,850,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bpv",3556.31817554682,2900,4,FALSE,NA,22,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"bpw",400.883037734311,85,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bpx",9326.157899905,10000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"bpy",2196.44446501322,117500,9,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
