"LANG_ISO","area","L1_pop","Bordering_LR","IE","PC_Phoible","PC_Creanza","min_dist11k","min_dist25k","min_distCont","max_areakm2","in_Phoible","in_Creanza","macroarea","macroarea_Africa","macroarea_Australia","macroarea_Eurasia","macroarea_North America","macroarea_Papunesia","macroarea_South America","macroarea_NA"
"aaa",237.916837606987,9000,7,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"aab",39.7488729709294,7000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"aac",1109.64767039847,50,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aad",63.8839259841479,830,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aae",574.504340275191,100000,2,FALSE,73,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aaf",78.6719828248024,200,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aag",43.7937285136431,290,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aai",192.355823825113,3470,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aak",250.692986351438,1600,4,FALSE,NA,19,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"aal",1529.3914152917,5000,8,FALSE,36,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"aam",9212.01162919204,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aan",533.312002271181,6,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"South America",0,0,0,0,0,1,0
"aao",1321585.24167429,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aap",5346.87194608664,340,1,FALSE,17,NA,0,0,0,NA,FALSE,TRUE,"South America",0,0,0,0,0,1,0
"aaq",37692.6416715197,1800,2,FALSE,NA,19,0,0,0,NA,TRUE,FALSE,"North America",0,0,0,1,0,0,0
"aar",134557.571513529,1379200,9,FALSE,27,25,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"aas",818.103077387088,350,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"aat",8590.63801024482,50000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aau",1614.38329692278,7270,10,FALSE,14,17,0,0,0,NA,FALSE,FALSE,"Papunesia",0,0,0,0,1,0,0
"aaw",990.848548168316,2200,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aax",4149.91215995327,10000,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aay",3391.95752864145,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aaz",796.699092958122,70000,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aba",4247.51646949063,170000,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"abb",422.302114410733,12000,4,FALSE,37,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"abc",74.6124176159501,1660,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abd",21.6007600110024,3800,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abe",361.482208218426,14,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"North America",0,0,0,1,0,0,0
"abf",55.1594308912754,0,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abg",79.271123428829,5,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abh",255.680026303977,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"abi",1132.68628839636,50500,5,FALSE,77,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"abj",257.425770117901,0,1,TRUE,NA,NA,361141.137125392,361141.137125392,361141.137125392,1510.24860729929,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"abk",4491.48400604166,105000,4,FALSE,132,36,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"abl",1838.01104978146,180000,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abm",167.038999091426,12500,5,FALSE,NA,25,0,0,0,NA,TRUE,FALSE,"Africa",1,0,0,0,0,0,0
"abn",434.940609421057,25000,8,FALSE,40,37,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"abo",136.356719064119,1000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"abp",119.302376739681,3000,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abq",1274.26507003605,37800,4,FALSE,NA,36,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"abr",14720.4469252539,1183000,7,FALSE,NA,31,0,0,0,NA,TRUE,FALSE,"Africa",1,0,0,0,0,0,0
"abs",589.166246791836,NA,NA,FALSE,23,NA,0,0,0,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"abt",1148.43803294702,44000,9,FALSE,24,24,0,0,0,NA,FALSE,FALSE,"Papunesia",0,0,0,0,1,0,0
"abu",1116.49713208481,55100,7,FALSE,38,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"abv",770.947686096653,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"abw",109.234433398582,1160,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abx",30.8678789325058,26400,0,TRUE,NA,NA,9305.06044441813,9305.06044441813,1416387.46320013,33.2254646010697,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aby",1393.38888757117,650,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abz",619.773180969991,16000,6,TRUE,NA,NA,31987.4676484376,31987.4676484376,625460.062463832,2136.57240726985,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aca",3436.25013610977,250,2,FALSE,29,NA,0,0,0,NA,FALSE,TRUE,"South America",0,0,0,0,0,1,0
"acb",4.51531125389738,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"acc",1148.41011158004,NA,NA,FALSE,NA,26,0,0,0,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1
"acd",839.862493572869,10400,3,FALSE,51,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"ace",17513.3248491285,3500000,6,FALSE,55,NA,0,0,0,NA,FALSE,TRUE,"Papunesia",0,0,0,0,1,0,0
"acf",1486.69411804108,NA,NA,TRUE,NA,NA,14369.2787923903,14369.2787923903,14369.2787923903,4882.46586726792,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"ach",33075.9839884663,1197000,10,FALSE,29,28,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"aci",351.480895728804,0,1,TRUE,NA,NA,292641.43507858,292641.43507858,292641.43507858,1343.55439770594,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"ack",580.051199121401,0,1,TRUE,NA,NA,425322.028759886,425322.028759886,425322.028759886,1287.7657836182,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"acl",597.618608441204,0,2,TRUE,NA,NA,361141.137125392,361141.137125392,361141.137125392,1510.24860729929,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"acm",144593.683913077,NA,NA,FALSE,NA,31,0,0,0,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1
"acn",1407.8026249148,62700,5,FALSE,59,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"acp",1534.48966367339,5000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"acq",107671.850035035,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"acr",1721.36366354302,85600,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"North America",0,0,0,1,0,0,0
"acs",37725.691653383,0,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"South America",0,0,0,0,0,1,0
"act",1304.7496897052,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"acu",21531.5711983237,7000,6,FALSE,27,NA,0,0,0,NA,FALSE,TRUE,"South America",0,0,0,0,0,1,0
"acv",632.617799773812,10,1,FALSE,23,35,0,0,0,NA,FALSE,FALSE,"North America",0,0,0,1,0,0,0
"acw",284550.051757314,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"acx",42075.990831716,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"acy",4.19133382290602,NA,NA,TRUE,NA,36,70405.4299833788,70405.4299833788,70405.4299833788,9354.53783998545,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1
"acz",13.8954338009935,9830,4,FALSE,38,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"ada",4557.23852917618,800000,6,FALSE,39,33,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"add",124.850497697771,2600,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"ade",1391.37020602767,27300,7,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"adf",2517.68925070018,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"adg",19734.4900457337,10,2,FALSE,44,NA,0,0,0,NA,FALSE,TRUE,"Australia",0,1,0,0,0,0,0
"adh",901.453670357005,360000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"adi",34821.7225865014,98090,12,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"adj",1449.86999636973,100000,9,FALSE,63,28,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"adl",674.733885919675,30000,2,FALSE,29,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"adn",64.2548290053383,3000,2,TRUE,40,NA,31987.4676484376,31987.4676484376,625460.062463832,2136.57240726985,FALSE,TRUE,"Papunesia",0,0,0,0,1,0,0
"ado",1123.48179974873,4200,7,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"adp",105.550288649276,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"adq",626.238869190482,2200,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"adr",562.204801043496,98000,2,TRUE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"ads",609.356011935579,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"adt",13005.5961142518,110,1,FALSE,27,27,0,0,0,NA,FALSE,FALSE,"Australia",0,1,0,0,0,0,0
"adu",204.899994755513,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"adw",782.700361295138,83,2,FALSE,26,NA,0,0,0,NA,FALSE,TRUE,"South America",0,0,0,0,0,1,0
"adx",284587.28078011,1800000,15,FALSE,166,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"ady",10289.2598048085,467800,5,FALSE,59,40,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"adz",1719.71285677608,30000,11,FALSE,50,24,0,0,0,NA,FALSE,FALSE,"Papunesia",0,0,0,0,1,0,0
"aea",23358.5340509471,0,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Australia",0,1,0,0,0,0,0
"aeb",152990.300368799,NA,NA,FALSE,NA,30,0,0,0,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1
"aec",153763.084772445,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aee",295.315298620611,54400,4,FALSE,NA,41,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"aek",49.0254419706762,300,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"ael",135.458159552596,2600,7,FALSE,51,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"aem",234.233182359487,40,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aeq",0.137663092464209,100,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aer",32816.5832455456,2380,1,FALSE,149,NA,0,0,0,NA,FALSE,TRUE,"Australia",0,1,0,0,0,0,0
"aes",5379.96122419089,NA,NA,FALSE,NA,40,0,0,0,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1
"aeu",3969.22496629134,11400,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aew",666.088625772856,770,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aey",131.23504696507,5300,5,FALSE,20,NA,0,0,0,NA,FALSE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aez",493.017768912949,3400,2,FALSE,NA,23,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"afb",542039.932872219,NA,NA,FALSE,NA,32,0,0,0,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1
"afd",559.629623240791,400,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"afe",298.505968776124,70000,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"afg",4736.47368009388,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"afi",44.5751047153026,75,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"afk",145.464017080143,1270,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"afn",64.958845886169,200,1,FALSE,42,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"afo",1957.50577387953,25000,4,FALSE,51,31,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"afp",87.7789305513725,290,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"afr",934682.089189119,6969900,30,FALSE,39,24,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"afs",1086.93728218041,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aft",212.070488498081,4510,2,FALSE,26,29,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"afu",681.116082606002,180000,3,FALSE,50,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"afz",533.420745130163,120,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aga",7070.68324835924,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"agb",137.025817947113,60000,6,FALSE,53,33,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"agc",3869.88472075138,70000,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"agd",528.151279627346,27000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"age",431.560241675936,18600,6,FALSE,NA,25,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"agf",1.51109147816896,150,0,TRUE,NA,NA,3296.58576986714,3296.58576986714,940181.545153969,3.76985189924017,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"agg",180.34559689695,1270,4,FALSE,NA,22,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"agh",19354.8069460258,13600,10,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"agi",1198.05484317057,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"agj",700.556432536803,43700,3,FALSE,38,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"agk",85.6636543665081,5,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"agl",570.879960159771,350,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"agm",521.85683231242,2100,7,FALSE,21,18,0,0,0,NA,FALSE,FALSE,"Papunesia",0,0,0,0,1,0,0
"agn",195.218396903016,15000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"ago",892.797460070811,1000,4,FALSE,NA,17,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"agp",615.411962367594,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"agq",184.406390534015,26700,7,FALSE,84,29,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"agr",33530.5139442021,38300,5,FALSE,20,22,0,0,0,NA,FALSE,FALSE,"South America",0,0,0,0,0,1,0
"ags",862.783446108864,20000,9,FALSE,37,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"agt",245.417206663638,780,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"agu",283.51459399797,18000,2,FALSE,NA,30,0,0,0,NA,TRUE,FALSE,"North America",0,0,0,1,0,0,0
"agv",1008.84259450063,2530,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"agw",352.498995190486,5170,2,TRUE,NA,NA,1043861.15361118,1043861.15361118,1735961.23592413,3318.80156867579,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"agx",1393.8861329481,29300,3,FALSE,NA,41,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"agy",101.337524505332,1000,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"agz",132.850625669584,1500,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aha",569.615817753052,142000,3,FALSE,40,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"ahb",81.2507479730994,750,3,TRUE,NA,NA,518849.552386225,518849.552386225,1792338.99515383,2073.62343852222,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"ahg",1216.04418403842,1650,1,FALSE,39,31,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"ahh",2874.33156101126,3000,5,FALSE,NA,20,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"ahi",157.4817301523,9000,4,FALSE,32,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"ahk",11467.1674744096,563960,27,FALSE,101,38,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"ahl",88.961383359092,6000,7,FALSE,66,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"ahm",14.6250666372362,2000,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"ahn",181.20632981247,300,4,FALSE,43,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"aho",393.14990429394,0,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"ahp",308.278306270484,6500,3,FALSE,33,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"ahr",2279.56237081811,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"ahs",200.515856630926,40000,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"aht",12816.9414749481,80,0,FALSE,35,NA,0,0,0,NA,FALSE,TRUE,"North America",0,0,0,1,0,0,0
"aia",417.511629533023,6750,1,TRUE,NA,22,1043861.15361118,1043861.15361118,1735961.23592413,3318.80156867579,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"aib",199.890028325841,6570,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aic",71.9839006750844,100,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aid",4372.90454141982,0,4,FALSE,28,NA,0,0,0,NA,FALSE,TRUE,"Australia",0,1,0,0,0,0,0
"aie",141.455088863149,230,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aif",53.2393643646501,960,7,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aig",874.48723194655,NA,NA,TRUE,37,NA,498969.280026677,498969.280026677,498969.280026677,764.54014492128,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aih",117.652061542496,2700,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aii",4489.47273461893,75000,6,FALSE,NA,33,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"aik",149.537534271367,3000,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"ail",857.859545584768,140,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aim",404.944951107726,2640,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"ain",106364.748530798,25,2,FALSE,33,17,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"aio",1362.48996719345,1500,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aip",239.036565043963,40,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aiq",33182.3224111982,480000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"air",1151.2056228139,1000,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"ais",0.0796493478119373,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"ait",11216.1494996422,0,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"South America",0,0,0,0,0,1,0
"aiw",2967.73758832598,235000,7,FALSE,36,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"aix",1978.40549053159,2000,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aiy",4129.52752260386,35000,7,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"aja",224.37454579887,200,3,FALSE,48,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"ajg",4717.47657981298,512500,10,FALSE,82,36,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"aji",1793.92252908647,5360,6,FALSE,NA,34,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"ajp",28329.0172965769,NA,NA,FALSE,NA,31,0,0,0,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1
"ajt",4549.35659407731,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aju",176.340016003232,8930,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"ajw",119.3670655241,0,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"ajz",4367.48907961324,125000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aka",57753.638596175,8300000,21,FALSE,166,25,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"akb",12490.1765253022,750000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"akc",2117.68555922568,7000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"akd",314.192924857431,11400,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"ake",24028.8442521384,5350,5,FALSE,44,NA,0,0,0,NA,FALSE,TRUE,"South America",0,0,0,0,0,1,0
"akf",607.141691577737,26900,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"akg",600.597457194701,16000,4,TRUE,NA,NA,45804.7193384454,45804.7193384454,694108.797966661,10842.8495863723,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"akh",459.721437115222,40000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aki",233.445715066977,750,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"akj",499.204823679291,0,2,TRUE,NA,NA,292641.43507858,292641.43507858,292641.43507858,1343.55439770594,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"akl",1982.20699648187,435000,4,FALSE,20,NA,0,0,0,NA,FALSE,TRUE,"Papunesia",0,0,0,0,1,0,0
